bookID,title,author,average_rating,isbn,isbn13,language,num_pages,rating_count,text_review_count
38,The Lord of the Rings Box Set,J.R.R. Tolkien,4.49,618153977,9.78E+12,eng,1223,216,19
40,Cooking with Fernet Branca (Gerald Samper  #1),James Hamilton-Paterson,3.61,193337201X,9.78E+12,eng,288,1214,202
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz,3.89,097669400X,9.78E+12,eng,558,1269,59
50,Hatchet,Gary Paulsen,3.7,689840926,9.78E+12,eng,208,254827,11346
51,"""Hatchet: A Guide for Using """"Hatchet"""" in the Classroom""",Donna Ickes-Edward Sciranko-Keith Vasconcelles,3.97,1557344493,9.78E+12,eng,48,35,2
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.87,385326505,9.78E+12,eng,144,1996,326
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9.78E+12,eng,56,6,0
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.48,1595580271,9.78E+12,en-US,228,99,16
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati,3.75,1595962808,9.78E+12,eng,304,167,4
58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,9.78E+12,eng,256,957,112
59,The Changeling Sea,Patricia A. McKillip,4.07,141312629,9.78E+12,eng,137,4319,289
61,The Changeling,Zilpha Keatley Snyder,4.17,595321801,9.78E+12,eng,228,1155,92
63,The Changeling,Kate Horsley,3.56,1590301943,9.78E+12,eng,339,295,42
66,The Changeling (Daughters of England  #15),Philippa Carr,3.99,449146979,9.78E+12,eng,369,341,12
67,The Known World,Edward P. Jones,3.83,61159174,9.78E+12,eng,388,28962,2576
68,The Known World,Edward P. Jones-Kevin R. Free,3.83,006076273X,9.78E+12,en-US,14,50,12
69,The Known World,Edward P. Jones,3.83,60749911,9.78E+12,eng,576,22,3
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,9.78E+12,eng,334,1398,78
72,Artesia: Adventures in the Known World,Mark Smylie,4.16,1932386106,9.78E+12,eng,352,50,4
73,The Known World,Edward P. Jones,3.83,096513671X,9.78E+12,eng,388,15,2
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee-William Howarth,4.43,374517193,9.78E+12,eng,416,550,36
75,Uncommon Carriers,John McPhee,3.95,374280398,9.78E+12,en-US,248,1561,192
76,Heirs of General Practice,John McPhee,4.15,374519749,9.78E+12,eng,128,253,18
77,The Control of Nature,John McPhee,4.24,374522596,9.78E+12,en-US,288,3365,290
78,Annals of the Former World,John McPhee,4.33,374518734,9.78E+12,eng,720,2966,211
79,Coming Into the Country,John McPhee,4.22,374522871,9.78E+12,eng,448,5452,245
80,La Place de la Concorde Suisse,John McPhee,3.91,374519323,9.78E+12,eng,160,671,52
81,Giving Good Weight,John McPhee,4.22,374516006,9.78E+12,eng,288,533,34
83,Rising from the Plains,John McPhee,4.22,374520658,9.78E+12,eng,208,1263,91
85,The Heidi Chronicles,Wendy Wasserstein,3.73,822205106,9.78E+12,eng,81,1348,69
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.83,679734996,9.78E+12,eng,249,2732,63
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9.78E+12,eng,138,31,1
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.75,1581807740,9.78E+12,en-US,128,61,4
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker-Rolland Baker,4.45,800793617,9.78E+12,eng,192,822,53
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.7,871202867,9.78E+12,en-US,72,71,2
93,Heidi,Johanna Spyri-Beverly Cleary-Angelo  Rinaldi,3.98,753454947,9.78E+12,eng,352,150657,2175
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.28,871209993,9.78E+12,eng,192,53,5
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker-Heidi Baker,4.45,1852402873,9.78E+12,eng,192,34,6
98,What to Expect the First Year (What to Expect),Heidi Murkoff-Sharon Mazel-Heidi Murkoff-Arlene Eisenberg-Sandee Hathaway-Mark D. Widome,3.88,761129588,9.78E+12,eng,832,11489,658
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss-Libby Keatinge,3.82,972016414,9.78E+12,eng,123,34,8
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.75,1581805632,9.78E+12,en-US,128,75,4
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.83,441294677,9.78E+12,eng,423,2692,168
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.9,441102670,9.78E+12,eng,436,38651,552
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.87,441172695,9.78E+12,eng,331,96649,2306
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4,765306476,9.78E+12,en-US,592,755,21
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.85,399128980,9.78E+12,eng,480,261,18
110,The Road to Dune (Dune Universe),Frank Herbert-Brian Herbert-Kevin J. Anderson,3.87,765353709,9.78E+12,eng,426,4561,76
112,Children of Dune (Dune Chronicles #3),Frank Herbert,3.92,441104029,9.78E+12,eng,408,84276,1370
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.85,441328008,9.78E+12,eng,471,45211,616
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9.78E+12,eng,544,66687,4445
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546,9.78E+12,eng,291,44,12
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell-Stephen R. Graves-Thomas G. Addington,4.28,785260056,9.78E+12,en-US,256,16,1
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.31,471780936,9.78E+12,eng,205,163,16
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.79,325001537,9.78E+12,eng,240,10,0
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.49,006076287X,9.78E+12,eng,336,73,9
133,eBay for Dummies,Marsha Collier,3.5,470045299,9.78E+12,eng,386,102,9
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta-Lisa Suttora,3.62,72262788,9.78E+12,eng,260,24,0
137,Starting an eBay Business for Dummies,Marsha Collier,3.52,764569244,9.78E+12,eng,384,51,4
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,9.78E+12,eng,260,9,0
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.55,764559915,9.78E+12,en-US,391,19,1
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383,9.78E+12,en-US,864,17,3
141,Ruby Cookbook,Lucas Carlson-Leonard Richardson,3.82,596523696,9.78E+12,eng,873,163,4
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.09,806523492,9.78E+12,eng,240,47,5
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,9.78E+12,eng,206,12,2
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.65,596527314,9.78E+12,eng,514,49,1
151,Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky,4.04,143035002,9.78E+12,eng,838,15747,1795
152,Anna Karenina,Leo Tolstoy-David Magarshack-Priscilla Meyer,4.04,451528611,9.78E+12,eng,960,108970,5694
153,Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley,4.04,140449175,9.78E+12,eng,837,2835,300
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman-Leo Tolstoy,3.89,822001837,9.78E+12,eng,80,15,3
155,Anna Karenina,Leo Tolstoy-Amy Mandelker-Constance Garnett,4.04,1593080271,9.78E+12,eng,803,9362,710
156,Anna Karenina,Leo Tolstoy-Louise Maude-Aylmer Maude,4.04,486437965,9.78E+12,eng,752,460,71
157,Anna Karenina,Leo Tolstoy-Constance Garnett-Amy Mandelker,4.04,1593081774,9.78E+12,eng,803,298,47
159,Dinner with Anna Karenina,Gloria Goldreich,2.96,778322270,9.78E+12,eng,368,400,64
